calendar_year_month,sku,sales_usd,sales_qty,calendar_date
201611,4198-0,755235.79,8951,2016-11-01
201611,4199-0,2448627.61,25146,2016-11-01
201611,4309-0,1137880.69,9950,2016-11-01
201611,4418-0,295297.82,4248,2016-11-01
201611,4421-0,319867.59,4996,2016-11-01
201611,4434-0,481439.12,3678,2016-11-01
201611,4467-0,797387.92,15237,2016-11-01
201611,4468-0,804819.76,15082,2016-11-01
201611,45989-0,1335457.2,7900,2016-11-01
201611,4636-0,910615.47,37109,2016-11-01
201611,4639-0,104736.65,4732,2016-11-01
201611,4647-0,129709.53,12015,2016-11-01
201611,4648-0,61760.32,6780,2016-11-01
201611,4694-0,149270.77,11657,2016-11-01
201611,4734-0,190769.26,8591,2016-11-01
201611,4774-0,452980.25,40022,2016-11-01
201611,4775-0,167943.6,15822,2016-11-01
201611,5172-0,506567.35,1420,2016-11-01
201611,5297-0,3832.45,33,2016-11-01
201611,98993-0,864312.18,3544,2016-11-01
201611,98994-0,535723.1,2193,2016-11-01
201611,99042-NA,35241.79,290,2016-11-01
201611,99517-LGR-1WA,2645.82,3,2016-11-01
201611,99520-LGR-1WA,7401.45,8,2016-11-01
201611,99520-LGR-1WT,979.68,1,2016-11-01
201611,99522-LG-1WA,8631.09,7,2016-11-01
201611,99522-LG-1WT,0.0,0,2016-11-01
201611,99524-LG-1WA,15752.619999999999,14,2016-11-01
201611,99524-LG-1WT,1224.03,1,2016-11-01
201611,99530-LGR-1WA,4978.88,6,2016-11-01
201611,99530-LGR-1WT,2425.89,3,2016-11-01
201611,99533-LGR-1WA,5741.349999999999,7,2016-11-01
201611,99533-LGR-1WT,925.8299999999999,2,2016-11-01
201611,99535-LG-1WA,1130.16,2,2016-11-01
201611,99537-LG-1WT,1101.85,1,2016-11-01
201611,99541-R-1WA,2746.11,5,2016-11-01
201611,99541-R-1WT,1552.05,3,2016-11-01
201611,99543-R-1WA,2808.5,5,2016-11-01
201611,99543-R-1WT,1008.8000000000001,3,2016-11-01
201611,99544-1WA,7253.35,10,2016-11-01
201611,99544-1WT,806.7,2,2016-11-01
201611,99548-1WA,1425.62,2,2016-11-01
201611,99548-1WT,712.81,1,2016-11-01
201611,CB-CLW2026SS,122190.25,1321,2016-11-01
201612,10491-0,1473328.51,6159,2016-12-01
201612,10493-0,136814.31,524,2016-12-01
